name,company,city,state,country,address,state_clean
4640 Admiralty Way,Unclaimed,Marina,California,United States,4640 Admiralty Way 90292 Marina Del Rey USA,CA
4650 Old Ironsides Drive,Cyxtera,Drive,California,United States,4650 Old Ironsides Drive CA 95054 Santa Clara United States,CA
4664 Campus Drive,Weidenhammer,Drive,Michigan,United States,4664 Campus Drive MI Kalamazoo United States,MI
470 Exchange,470 exchange,Atlanta,Georgia,United States,470 East Paces Ferry Road 30327 Atlanta United States,GA
4700 Old Ironsides Drive,Cyxtera,Drive,California,United States,4700 Old Ironsides Drive CA 95054 Santa Clara United States,CA
4849 Alpha Road,Digital Realty Trust,Road,Texas,United States,4849 Alpha Road TX 75214 Dallas United States,TX
4949 Randolph Rd NE,Cyxtera,Lake,Nebraska,United States,4949 Randolph Rd NE 98837 Moses Lake USA,NE
5000 Bowen,Mapletree Redwood Data Centre Trust (MRDCT),Arlington,Texas,United States,5000 S Bowen Rd 76017-2616 Arlington USA,TX
505 N Railroad Ave,Digital Realty Trust,Northlake,Illinois,United States,505 N Railroad Ave 60164 Northlake USA,IL
51 Peachtree Center Ave. NE,Brookfield Infrastructure Partners LP,Ave,Nebraska,United States,51 Peachtree Center Ave NE 30303-2513 Atlanta USA,NE
5101 Lafayette St.,Zayo Group LLC,Santa,California,United States,5101 Lafayette St 95054-1010 Santa Clara USA,CA
511 Building - Minnesota Technology Center,511 Building,Minneapolis,Minnesota,United States,511 11th Ave S 55415 Minneapolis United States,MN
5150 McCrimmon Parkway,Mapletree Redwood Data Centre Trust (MRDCT),Morrisville,North Carolina,United States,5150 McCrimmon Pkwy 27560 Morrisville USA,NC
5200 Rogers Road,Microsoft,San,Texas,United States,5200 Rogers Rd 78251 San Antonio USA,TX
545 Washington Boulevard,Knight Capital Group,Boulevard,New Jersey,United States,545 Washington Boulevard NJ Jersey City United States,NJ
55 Marietta,Bank Building Limited Partnership,Atlanta,Georgia,United States,55 Marietta 30303 Atlanta United States,GA
55 Middlesex Turnpike,Digital Realty Trust,Turnpike,Massachusetts,United States,55 Middlesex Turnpike MA 01730 Bedford United States,MA
56 Marietta Street,Digital Realty Trust,Atlanta,Georgia,United States,56 Marietta St NW 30303 Atlanta USA,GA
587 McDonnell Blvd.,Cyxtera,Blvd.,Missouri,United States,587 McDonnell Blvd. MO 63042 Hazelwood United States,MO
60 Hudson Street,Digital Realty Trust,New,New York,United States,"60 Hudson St, Floor 5 10013 New York USA",NY
600 Albany Post Road,Lincoln Rackhouse,Briarcliff,New York,United States,600 Albany Post Rd 10510-2427 Briarcliff Manor USA,NY
600 S Federal St.,Zayo Group LLC,Chicago,Illinois,United States,600 S Federal St 60605 Chicago USA,IL
600 Winter St,Digital Realty Trust,Boston,Massachusetts,United States,600 Winter St MA 02451 Boston United States,MA
611 Folsom St.,Brookfield Infrastructure Partners LP,San,California,United States,611 Folsom St 94107-1304 San Francisco USA,CA
615 N 48th St,Cyxtera,Phoenix,Arizona,United States,615 N 48th St 85008-6608 Phoenix USA,AZ
650 Townsend St,Virtustream,Francisco,California,United States,650 Townsend st CA 94013 San Francisco United States,CA
6606 LBJ Fwy,Zayo Group LLC,Dallas,Texas,United States,6606 Lyndon B Johnson Fwy 75240 Dallas USA,TX
6715 Pinecrest Drive,Lincoln Rackhouse,Plano,Texas,United States,6715 Pinecrest Dr 75024 Plano USA,TX
6900 S Peoria St,Zayo Group LLC,Centennial,Colorado,United States,6900 S Peoria St 80112-4137 Centennial USA,CO
700 Austin Ave,Zayo Group LLC,Waco,Texas,United States,700 Austin Ave 76701-2020 Waco USA,TX
701 East Trade Street,Lincoln Rackhouse,Charlotte,North Carolina,United States,701 E Trade St 28202 Charlotte USA,NC
701-703 S Lasalle St.,Vinakom,Chicago,Illinois,United States,701 S Lasalle St. 60605 Chicago United States,IL
707 Wilshire Blvd.,Zayo Group LLC,Los,California,United States,707 Wilshire Blvd 90017 Los Angeles USA,CA
710 Tucker St Louis,Hostirian,St.,Missouri,United States,710 North Tucker 63101 St. Louis United States,MO
717 Leonard Street,Digital Realty Trust,Dallas,Texas,United States,Leonard St 717 75201 Dallas United States,TX
717 North Harwood Street,Crown Castle,Dallas,Texas,United States,717 N Harwood St 75201 Dallas USA,TX
717 South Wells,Netrality,Chicago,Illinois,United States,717 S Wells St 60607 Chicago USA,IL
7185 Pollock Drive,Zayo Group LLC,Las,Nevada,United States,7185 Pollock Dr 89119-4415 Las Vegas USA,NV
720 Second Street,Digital Realty Trust,Oakland,California,United States,720 Second Street 94607 Oakland United States,CA
7218 McNeil Drive,Zayo Group LLC,Austin,Texas,United States,7218 McNeil Dr 78729-7617 Austin USA,TX
"725 S. Wells Street, Chicago ",Steadfast Networks,Chicago,Illinois,United States,"725 S. Wells St., 8th Floor 60607 Chicago United States",IL
731 E Trade St,Digital Realty Trust,Charlotte,North Carolina,United States,731 E Trade St NC 28202 Charlotte United States,NC
7337 Trade Street,Mapletree Redwood Data Centre Trust (MRDCT),San,California,United States,7337 Trade St 92121 San Diego USA,CA
739 Welch Drive,Data Center West,Medford,Oregon,United States,739 Welch Drive 97501 Medford United States,OR
7401 E. Ben White Boulevard,Digital Realty Trust,Austin,Texas,United States,E Ben White Blvd 7401 78744 Austin United States,TX
7500 Metro Center Dr,Digital Realty Trust,Austin,Texas,United States,7500 Metro Center Dr 78704 Austin United States,TX
7505 John W. Carpenter Freeway,CoreSpace,Freeway,Texas,United States,7505 John W. Carpenter Freeway TX 75247 Dallas United States,TX
7505 Mason King Court,Digital Realty Trust,Manassas,District of Columbia,United States,7505 Mason King Court 20109 Manassas United States,DC
7579 W 103rd Ave,Zayo Group LLC,Westminster,Colorado,United States,7579 W 103rd Ave 80021-4071 Westminster USA,CO
760 Doug Davis Dr,Digital Realty Trust,Atlanta,Georgia,United States,Doug Davis Dr 760 30354 Atlanta United States,GA
7620 Appling Center Dr,Zayo Group LLC,Memphis,Tennessee,United States,7620 Appling Center Drive 38133 Memphis United States,TN
7620 Metro Center Drive,Digital Realty Trust,Austin,Texas,United States,7620 Metro Center Drive 78704 Austin United States,TX
7th St.,CyrusOne,Cincinnati,Ohio,United States,West 7th Street 229 45202 Cincinnati United States,OH
80 Merritt Blvd,Digital Realty Trust,Trumbull,Connecticut,United States,80 Merritt Blvd 06611-5436 Trumbull USA,CT
800 E Business Center Dr.,Zayo Group LLC,Prospect,Illinois,United States,800 E Business Center Dr 60056-2178 Mt Prospect USA,IL
800 South Hope,Thomas Properties Group,Los,California,United States,800 South Hope Street 90017 Los Angeles United States,CA
801 Main Street NW,Dacentec,Lenoir,North Carolina,United States,801 Main Street NW NC 28645 Lenoir United States,NC
8029 Corporate Drive,Lincoln Rackhouse,Nottingham,Maryland,United States,8029 Corporate Dr 21236 Nottingham USA,MD
8100 Boone Boulevard,Digital Realty Trust,Vienna,Virginia,United States,8100 Boone Boulevard 22182 Vienna United States,VA
811 10th Ave,Brookfield Infrastructure Partners LP,New,New York,United States,811 10th Avenue 10019 New York United States,NY
8180 Green Meadows Dr,Cyxtera,Lewis,Ohio,United States,8180 Green Meadows Dr N 43035-9605 Lewis Center USA,OH
"8201 E. Riverside Drive, Building 4-6",Digital Realty Trust,Austin,Texas,United States,"E Riverside Dr 8201, Building 4-6 78744 Austin United States",TX
8217 Linton Hall Road,Digital Realty Trust,Gainesville,District of Columbia,United States,8217 Linton Hall Rd 20155 Gainesville USA,DC
840 S Canal St,Zayo Group LLC,Chicago,Illinois,United States,840 Canal St 60607 Chicago USA,IL
840 South Canal Street,Red Sea Group,Street,Illinois,United States,840 South Canal Street IL 60607 Chicago United States,IL
8435 N. Stemmons Freeway,Digital Realty Trust,Dallas,Texas,United States,N Stemmons Fwy 8435 75247 Dallas United States,TX
850 E. Collins Blvd,Digital Realty Trust,Blvd,Texas,United States,850 E. Collins Blvd TX 75081 Richardson United States,TX
